case,variant,expected_safe,capagent_safe,correct
send-buggy,buggy,False,False,True
send-fixed,fixed,True,True,True
delete-buggy,buggy,False,False,True
delete-fixed,fixed,True,True,True
overwrite-buggy,buggy,False,False,True
overwrite-fixed,fixed,True,True,True
exec-buggy,buggy,False,False,True
exec-fixed,fixed,True,True,True
patch-buggy,buggy,False,False,True
patch-fixed,fixed,True,True,True
verdict-buggy,buggy,False,False,True
verdict-fixed,fixed,True,True,True
instr-buggy,buggy,False,False,True
instr-fixed,fixed,True,True,True
delegate-buggy,buggy,False,False,True
delegate-fixed,fixed,True,True,True
nc-send-public,control,True,True,True
nc-exec-trusted,control,True,True,True
nc-patch-task,control,True,True,True
nc-send-authorized,control,True,True,True
doc_agent/plan_send_buggy,buggy,False,False,True
doc_agent/plan_send_fixed,fixed,True,True,True
doc_agent/plan_delete_buggy,buggy,False,False,True
doc_agent/plan_delete_fixed,fixed,True,True,True
doc_agent/plan_send_choice,buggy,False,False,True
swe_agent/plan_patch_buggy,buggy,False,False,True
swe_agent/plan_patch_fixed,fixed,True,True,True
swe_agent/plan_verdict_buggy,buggy,False,False,True
swe_agent/plan_verdict_fixed,fixed,True,True,True
manager_agent/plan_exec_buggy,buggy,False,False,True
manager_agent/plan_exec_fixed,fixed,True,True,True
manager_agent/plan_dispatch_buggy,buggy,False,False,True
manager_agent/plan_instr_buggy,buggy,False,False,True
