repo,mode,commit,files,loc,sinks,Exec,Overwrite,Delete,SendExt,CredAccess,guards,guard_density_per_sink
open-interpreter,M1,ac1b565c72,134,36765,172,62,66,32,9,3,125,0.727
smolagents,M3,526069c1ea,75,30683,51,13,12,7,4,15,25,0.49
SWE-bench,M3,f7bbbb2ccd,89,17667,88,34,37,5,0,12,3,0.034
MetaGPT,M2,11cdf466d0,890,89755,205,42,97,47,16,3,6,0.029
langchain-mcp-adapters,M4,6a10b83516,26,5187,0,0,0,0,0,0,0,
agno,M1,3138e34b98,4051,789958,1267,25,439,114,574,115,1079,0.852
dspy,M2,498760149b,260,63112,63,7,44,4,5,3,78,1.238
browser-use,M2,18484f23ac,362,106049,216,16,63,18,21,98,311,1.44
OpenHands,M3,ae5b8a995d,876,222004,235,9,27,13,119,67,1115,4.745
litellm,M2,b96f1aa686,4649,1658988,1764,77,176,51,697,763,1630,0.924
swarm,M2,6af0b4caf3,62,3786,3,0,3,0,0,0,0,0.0
private-gpt,M1,603152a62a,712,117213,74,15,30,19,9,1,42,0.568
letta,M4,6d8cb7fd48,878,249295,223,32,20,21,89,61,713,3.197
SuperAGI,M1,c3c1982e7b,461,33024,99,26,19,12,42,0,32,0.323
AIOS,M2,4171a8ea2d,152,28327,123,33,48,6,32,4,0,0.0
dify,M4,dcc06dee20,3508,832158,272,19,117,12,95,29,1954,7.184
